MSISDN_ENCR_INT,CHURN_TAG,FEATURE,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14,DAY15,DAY16,DAY17,DAY18,DAY19,DAY20,DAY21,DAY22,DAY23,DAY24,DAY25,DAY26,DAY27,DAY28,DAY29,DAY30
900300.00,0,PAYG_MB_RATIO,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
900300.00,0,REMAINING_DATA_BAL_MB,3007,2993,2993,2989,2983,2976,2955,2951,2951,2937,2929,2916,2916,2910,2905,2889,2889,,2878,2871,2865,3058,3058,3053,3042,3035,3018,3013,3002,2995
900300.00,0,TOTAL_REVENUE_WT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,547.0036,0,0,0,0,0,0,0,0,0,0,198
900300.00,0,TOTAL_VOICE_USAGE,1.35,2.05,5.9,3.53333,1.2,5.78333,2.53333,0.43333,0.36667,5.28333,14.8,2.3,4.31667,18.26667,6.46667,7.73333,0,,25.46667,6.46667,18.76667,5.45,2.91667,13.63333,32.73333,49.26667,25.18333,0,0,9.51667
900300.00,0,WALLET_BALANCE,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,,0.0045,0.005,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058
900400.00,0,MBB_TOTAL_USAGE,394.72018,17.9552,35.31079,27.48881,294.62025,205.58366,120.70842,16.7992,5.87073,22.07588,25.83369,533.4752,215.68653,4.76109,7.4648,6.68006,4.21424,6.2698,251.69421,32.82728,15.79218,244.16797,48.18886,496.57955,20.07128,20.92433,22.40505,35.43105,170.39001,754.69329
900400.00,0,PAYG_MB_RATIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.892284000
900400.00,0,REMAINING_DATA_BAL_MB,622,622,622,243,243,222,1690,1485,1485,1368,1358,1358,1358,1358,839,637,637,0,0,0,1024,758,758,758,505,496,0,0,0,0
900400.00,0,TOTAL_REVENUE_WT,0,0,198,108,0,0,0,0,0,198,0,0,0,0.0108,0,0,0,109,0,0,0,0,0,0.0036,198,0,0,306,0,0
900400.00,0,TOTAL_VOICE_USAGE,13.85,21.83333,20.61667,18.05,12.86667,20.66667,9.7,50.65,42.75,21.68333,31.61667,56.16667,28.23333,5.58333,16.51667,10.78333,5.78333,0.38333,3.35,3.45,4.43333,8.85,13.88333,7.96667,18.5,31.21667,35.73333,69.88333,14.06667,11.91667
900400.00,0,WALLET_BALANCE,0.01,0.01,0.01,0.01,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.011,0.011,0.011,0.011,0.0002,0.0002,0.0002,0.0002,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036,0,0.0005,0.0005,0.0005,0.001
900500.00,1,MBB_TOTAL_USAGE,,312.13244,207.65042,176.46049,792.69108,404.92274,357.86451,525.69416,182.48652,175.63169,438.16178,195.77524,487.566,177.52852,12.66161,0.36705,,,,,,,,,,,,,,
900500.00,1,PAYG_MB_RATIO,,54.14386400,5.994903000,3.407542000,-1,-1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
900500.00,1,REMAINING_DATA_BAL_MB,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
900500.00,1,TOTAL_REVENUE_WT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
900500.00,1,TOTAL_VOICE_USAGE,,0.86667,0,0,0.41667,0.85,5.01667,2,9.55,0,4.05,3.06667,0,60.25,9.63333,0,,,,,,,,,,,,,,
900500.00,1,WALLET_BALANCE,,0.0015,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,,,,,,,,,,,,,,
1000100.00,0,MBB_TOTAL_USAGE,103.42419,55.76408,8.75997,10.39562,60.79919,7.33742,37.59542,78.78699,10.45611,9.12005,96.10768,41.9972,161.8166,90.78313,187.50397,29.79133,9.37187,112.31829,42.206,91.56004,52.94571,12.05129,10.21561,81.54884,36.66805,59.83295,151.18995,152.06378,234.66648,215.54503
1000100.00,0,PAYG_MB_RATIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000100.00,0,REMAINING_DATA_BAL_MB,3500,3489,3489,3400,3349,3349,3317,3313,3313,3285,3215,3215,3215,3124,3091,2835,2835,2680,2669,2668,2576,2458,2458,2421,2413,2412,3526,3511,3444,3317
1000100.00,0,TOTAL_REVENUE_WT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708,0,0,0,0,0,0
1000100.00,0,TOTAL_VOICE_USAGE,23.06667,15.48333,24.65,33.51667,24.06667,4.6,67.55,52.55,29.21667,23.76667,33.48333,15.48333,37.26667,15.48333,27.83333,112.46667,118.25,100.26667,45.61667,9.6,42.11667,34.85,44.21667,63.65,74.58333,45.83333,43.83333,17.66667,60.26667,31.03333
1000100.00,0,WALLET_BALANCE,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0036,0.0036,0.0036,0.0036,0.0036
1000200.00,0,MBB_TOTAL_USAGE,417.22848,319.84492,578.50632,707.54045,478.11726,382.64304,791.30929,452.41913,304.42721,196.9901,749.88246,826.80134,367.56566,275.71254,424.81577,453.61158,1143.59784,834.0491,562.75728,1100.19379,926.6144,261.36942,372.2338,709.95251,435.21116,1010.96603,936.98049,644.69472,557.6902,383.57363
1000200.00,0,PAYG_MB_RATIO,-0.688599000,-0.664242000,-0.690028000,-0.704662000,4.297258000,5.021073000,5.059500000,2.636123000,2.89664700,2.949408000,-0.654691000,-0.602851000,-0.509923000,-0.40254900,-0.438663000,-0.423979000,-0.44486900,-0.33232600,-0.30316400,-0.868814000,-0.868425000,-0.855997000,-0.865927000,-0.870723000,-0.864172000,14.90703800,13.85035600,12.46742100,12.34060200,13.25357200
1000200.00,0,REMAINING_DATA_BAL_MB,450,33,33,0,0,238,198,190,190,147,36,245,245,230,81,11,11,2,1,1088,256,222,222,69,34,25,7,1505,1064,1011
1000200.00,0,TOTAL_REVENUE_WT,0,0,197,0,0,0,0,0,0,400.0017,0,0,0,0,0,0,159,0,197,0,0,198,0,0,159.0036,197,0,0,0,0
1000200.00,0,TOTAL_VOICE_USAGE,22.81667,12.38333,39.68333,21.28333,8,6.18333,6.5,5.18333,9.75,11.08333,30.28333,11.25,20.45,44.65,10.03333,10.23333,0,9.95,13.05,13.26667,0,12.03333,2.48333,6.2,9.21667,15.91667,14.4,23.9,27.6,33.38333
1000200.00,0,WALLET_BALANCE,0.0014,0.0014,0.0014,0.0014,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0032,0.0032,0.0032,0.0037,0.0037,0.0037,0.0036,0.0046,0.0046,0.0046
1000300.00,0,MBB_TOTAL_USAGE,392.13775,437.98295,469.69533,361.86608,426.15513,314.02157,395.84283,433.19328,207.42131,322.81479,864.21713,788.98439,770.61349,698.25332,479.22792,476.55683,955.09993,,799.96179,960.11224,203.05048,816.35687,800.79874,704.36974,703.93483,737.9587,590.26,646.60291,196.3738,487.18018
1000300.00,0,PAYG_MB_RATIO,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1000300.00,0,REMAINING_DATA_BAL_MB,3007,2993,2993,2989,2983,2976,2955,2951,2951,2937,2929,2916,2916,2910,2905,2889,2889,,2878,2871,2865,3058,3058,3053,3042,3035,3018,3013,3002,2995
1000300.00,0,TOTAL_REVENUE_WT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,547.0036,0,0,0,0,0,0,0,0,0,0,198
1000300.00,0,TOTAL_VOICE_USAGE,1.35,2.05,5.9,3.53333,1.2,5.78333,2.53333,0.43333,0.36667,5.28333,14.8,2.3,4.31667,18.26667,6.46667,7.73333,0,,25.46667,6.46667,18.76667,5.45,2.91667,13.63333,32.73333,49.26667,25.18333,0,0,9.51667
1000300.00,0,WALLET_BALANCE,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,,0.0045,0.005,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058
1000400.00,0,MBB_TOTAL_USAGE,394.72018,17.9552,35.31079,27.48881,294.62025,205.58366,120.70842,16.7992,5.87073,22.07588,25.83369,533.4752,215.68653,4.76109,7.4648,6.68006,4.21424,6.2698,251.69421,32.82728,15.79218,244.16797,48.18886,496.57955,20.07128,20.92433,22.40505,35.43105,170.39001,754.69329
1000400.00,0,PAYG_MB_RATIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.892284000
1000400.00,0,REMAINING_DATA_BAL_MB,622,622,622,243,243,222,1690,1485,1485,1368,1358,1358,1358,1358,839,637,637,0,0,0,1024,758,758,758,505,496,0,0,0,0
1000400.00,0,TOTAL_REVENUE_WT,0,0,198,108,0,0,0,0,0,198,0,0,0,0.0108,0,0,0,109,0,0,0,0,0,0.0036,198,0,0,306,0,0
1000400.00,0,TOTAL_VOICE_USAGE,13.85,21.83333,20.61667,18.05,12.86667,20.66667,9.7,50.65,42.75,21.68333,31.61667,56.16667,28.23333,5.58333,16.51667,10.78333,5.78333,0.38333,3.35,3.45,4.43333,8.85,13.88333,7.96667,18.5,31.21667,35.73333,69.88333,14.06667,11.91667
1000400.00,0,WALLET_BALANCE,0.01,0.01,0.01,0.01,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.011,0.011,0.011,0.011,0.0002,0.0002,0.0002,0.0002,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036,0,0.0005,0.0005,0.0005,0.001
1000500.00,1,MBB_TOTAL_USAGE,,312.13244,207.65042,176.46049,792.69108,404.92274,357.86451,525.69416,182.48652,175.63169,438.16178,195.77524,487.566,177.52852,12.66161,0.36705,,,,,,,,,,,,,,
1000500.00,1,PAYG_MB_RATIO,,54.14386400,5.994903000,3.407542000,-1,-1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1000500.00,1,REMAINING_DATA_BAL_MB,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1000500.00,1,TOTAL_REVENUE_WT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1000500.00,1,TOTAL_VOICE_USAGE,,0.86667,0,0,0.41667,0.85,5.01667,2,9.55,0,4.05,3.06667,0,60.25,9.63333,0,,,,,,,,,,,,,,
1000500.00,1,WALLET_BALANCE,,0.0015,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,,,,,,,,,,,,,,
2000100.00,0,MBB_TOTAL_USAGE,103.42419,55.76408,8.75997,10.39562,60.79919,7.33742,37.59542,78.78699,10.45611,9.12005,96.10768,41.9972,161.8166,90.78313,187.50397,29.79133,9.37187,112.31829,42.206,91.56004,52.94571,12.05129,10.21561,81.54884,36.66805,59.83295,151.18995,152.06378,234.66648,215.54503
2000100.00,0,PAYG_MB_RATIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000100.00,0,REMAINING_DATA_BAL_MB,3500,3489,3489,3400,3349,3349,3317,3313,3313,3285,3215,3215,3215,3124,3091,2835,2835,2680,2669,2668,2576,2458,2458,2421,2413,2412,3526,3511,3444,3317
2000100.00,0,TOTAL_REVENUE_WT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708,0,0,0,0,0,0
2000100.00,0,TOTAL_VOICE_USAGE,23.06667,15.48333,24.65,33.51667,24.06667,4.6,67.55,52.55,29.21667,23.76667,33.48333,15.48333,37.26667,15.48333,27.83333,112.46667,118.25,100.26667,45.61667,9.6,42.11667,34.85,44.21667,63.65,74.58333,45.83333,43.83333,17.66667,60.26667,31.03333
2000100.00,0,WALLET_BALANCE,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0036,0.0036,0.0036,0.0036,0.0036
2000200.00,0,MBB_TOTAL_USAGE,417.22848,319.84492,578.50632,707.54045,478.11726,382.64304,791.30929,452.41913,304.42721,196.9901,749.88246,826.80134,367.56566,275.71254,424.81577,453.61158,1143.59784,834.0491,562.75728,1100.19379,926.6144,261.36942,372.2338,709.95251,435.21116,1010.96603,936.98049,644.69472,557.6902,383.57363
2000200.00,0,PAYG_MB_RATIO,-0.688599000,-0.664242000,-0.690028000,-0.704662000,4.297258000,5.021073000,5.059500000,2.636123000,2.89664700,2.949408000,-0.654691000,-0.602851000,-0.509923000,-0.40254900,-0.438663000,-0.423979000,-0.44486900,-0.33232600,-0.30316400,-0.868814000,-0.868425000,-0.855997000,-0.865927000,-0.870723000,-0.864172000,14.90703800,13.85035600,12.46742100,12.34060200,13.25357200
2000200.00,0,REMAINING_DATA_BAL_MB,450,33,33,0,0,238,198,190,190,147,36,245,245,230,81,11,11,2,1,1088,256,222,222,69,34,25,7,1505,1064,1011
2000200.00,0,TOTAL_REVENUE_WT,0,0,197,0,0,0,0,0,0,400.0017,0,0,0,0,0,0,159,0,197,0,0,198,0,0,159.0036,197,0,0,0,0
2000200.00,0,TOTAL_VOICE_USAGE,22.81667,12.38333,39.68333,21.28333,8,6.18333,6.5,5.18333,9.75,11.08333,30.28333,11.25,20.45,44.65,10.03333,10.23333,0,9.95,13.05,13.26667,0,12.03333,2.48333,6.2,9.21667,15.91667,14.4,23.9,27.6,33.38333
2000200.00,0,WALLET_BALANCE,0.0014,0.0014,0.0014,0.0014,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0032,0.0032,0.0032,0.0037,0.0037,0.0037,0.0036,0.0046,0.0046,0.0046
2000300.00,0,MBB_TOTAL_USAGE,392.13775,437.98295,469.69533,361.86608,426.15513,314.02157,395.84283,433.19328,207.42131,322.81479,864.21713,788.98439,770.61349,698.25332,479.22792,476.55683,955.09993,,799.96179,960.11224,203.05048,816.35687,800.79874,704.36974,703.93483,737.9587,590.26,646.60291,196.3738,487.18018
2000300.00,0,PAYG_MB_RATIO,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000300.00,0,REMAINING_DATA_BAL_MB,3007,2993,2993,2989,2983,2976,2955,2951,2951,2937,2929,2916,2916,2910,2905,2889,2889,,2878,2871,2865,3058,3058,3053,3042,3035,3018,3013,3002,2995
2000300.00,0,TOTAL_REVENUE_WT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,547.0036,0,0,0,0,0,0,0,0,0,0,198
2000300.00,0,TOTAL_VOICE_USAGE,1.35,2.05,5.9,3.53333,1.2,5.78333,2.53333,0.43333,0.36667,5.28333,14.8,2.3,4.31667,18.26667,6.46667,7.73333,0,,25.46667,6.46667,18.76667,5.45,2.91667,13.63333,32.73333,49.26667,25.18333,0,0,9.51667
2000300.00,0,WALLET_BALANCE,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,,0.0045,0.005,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058
2000400.00,0,MBB_TOTAL_USAGE,394.72018,17.9552,35.31079,27.48881,294.62025,205.58366,120.70842,16.7992,5.87073,22.07588,25.83369,533.4752,215.68653,4.76109,7.4648,6.68006,4.21424,6.2698,251.69421,32.82728,15.79218,244.16797,48.18886,496.57955,20.07128,20.92433,22.40505,35.43105,170.39001,754.69329
2000400.00,0,PAYG_MB_RATIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.892284000
2000400.00,0,REMAINING_DATA_BAL_MB,622,622,622,243,243,222,1690,1485,1485,1368,1358,1358,1358,1358,839,637,637,0,0,0,1024,758,758,758,505,496,0,0,0,0
2000400.00,0,TOTAL_REVENUE_WT,0,0,198,108,0,0,0,0,0,198,0,0,0,0.0108,0,0,0,109,0,0,0,0,0,0.0036,198,0,0,306,0,0
2000400.00,0,TOTAL_VOICE_USAGE,13.85,21.83333,20.61667,18.05,12.86667,20.66667,9.7,50.65,42.75,21.68333,31.61667,56.16667,28.23333,5.58333,16.51667,10.78333,5.78333,0.38333,3.35,3.45,4.43333,8.85,13.88333,7.96667,18.5,31.21667,35.73333,69.88333,14.06667,11.91667
2000400.00,0,WALLET_BALANCE,0.01,0.01,0.01,0.01,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.011,0.011,0.011,0.011,0.0002,0.0002,0.0002,0.0002,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036,0,0.0005,0.0005,0.0005,0.001
2000500.00,1,MBB_TOTAL_USAGE,,312.13244,207.65042,176.46049,792.69108,404.92274,357.86451,525.69416,182.48652,175.63169,438.16178,195.77524,487.566,177.52852,12.66161,0.36705,,,,,,,,,,,,,,
2000500.00,1,PAYG_MB_RATIO,,54.14386400,5.994903000,3.407542000,-1,-1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2000500.00,1,REMAINING_DATA_BAL_MB,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2000500.00,1,TOTAL_REVENUE_WT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2000500.00,1,TOTAL_VOICE_USAGE,,0.86667,0,0,0.41667,0.85,5.01667,2,9.55,0,4.05,3.06667,0,60.25,9.63333,0,,,,,,,,,,,,,,
2000500.00,1,WALLET_BALANCE,,0.0015,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,,,,,,,,,,,,,,
3000100.00,0,MBB_TOTAL_USAGE,103.42419,55.76408,8.75997,10.39562,60.79919,7.33742,37.59542,78.78699,10.45611,9.12005,96.10768,41.9972,161.8166,90.78313,187.50397,29.79133,9.37187,112.31829,42.206,91.56004,52.94571,12.05129,10.21561,81.54884,36.66805,59.83295,151.18995,152.06378,234.66648,215.54503
3000100.00,0,PAYG_MB_RATIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000100.00,0,REMAINING_DATA_BAL_MB,3500,3489,3489,3400,3349,3349,3317,3313,3313,3285,3215,3215,3215,3124,3091,2835,2835,2680,2669,2668,2576,2458,2458,2421,2413,2412,3526,3511,3444,3317
3000100.00,0,TOTAL_REVENUE_WT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708,0,0,0,0,0,0
3000100.00,0,TOTAL_VOICE_USAGE,23.06667,15.48333,24.65,33.51667,24.06667,4.6,67.55,52.55,29.21667,23.76667,33.48333,15.48333,37.26667,15.48333,27.83333,112.46667,118.25,100.26667,45.61667,9.6,42.11667,34.85,44.21667,63.65,74.58333,45.83333,43.83333,17.66667,60.26667,31.03333
3000100.00,0,WALLET_BALANCE,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0036,0.0036,0.0036,0.0036,0.0036
3000200.00,0,MBB_TOTAL_USAGE,417.22848,319.84492,578.50632,707.54045,478.11726,382.64304,791.30929,452.41913,304.42721,196.9901,749.88246,826.80134,367.56566,275.71254,424.81577,453.61158,1143.59784,834.0491,562.75728,1100.19379,926.6144,261.36942,372.2338,709.95251,435.21116,1010.96603,936.98049,644.69472,557.6902,383.57363
3000200.00,0,PAYG_MB_RATIO,-0.688599000,-0.664242000,-0.690028000,-0.704662000,4.297258000,5.021073000,5.059500000,2.636123000,2.89664700,2.949408000,-0.654691000,-0.602851000,-0.509923000,-0.40254900,-0.438663000,-0.423979000,-0.44486900,-0.33232600,-0.30316400,-0.868814000,-0.868425000,-0.855997000,-0.865927000,-0.870723000,-0.864172000,14.90703800,13.85035600,12.46742100,12.34060200,13.25357200
3000200.00,0,REMAINING_DATA_BAL_MB,450,33,33,0,0,238,198,190,190,147,36,245,245,230,81,11,11,2,1,1088,256,222,222,69,34,25,7,1505,1064,1011
3000200.00,0,TOTAL_REVENUE_WT,0,0,197,0,0,0,0,0,0,400.0017,0,0,0,0,0,0,159,0,197,0,0,198,0,0,159.0036,197,0,0,0,0
3000200.00,0,TOTAL_VOICE_USAGE,22.81667,12.38333,39.68333,21.28333,8,6.18333,6.5,5.18333,9.75,11.08333,30.28333,11.25,20.45,44.65,10.03333,10.23333,0,9.95,13.05,13.26667,0,12.03333,2.48333,6.2,9.21667,15.91667,14.4,23.9,27.6,33.38333
3000200.00,0,WALLET_BALANCE,0.0014,0.0014,0.0014,0.0014,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0032,0.0032,0.0032,0.0037,0.0037,0.0037,0.0036,0.0046,0.0046,0.0046
3000300.00,0,MBB_TOTAL_USAGE,392.13775,437.98295,469.69533,361.86608,426.15513,314.02157,395.84283,433.19328,207.42131,322.81479,864.21713,788.98439,770.61349,698.25332,479.22792,476.55683,955.09993,,799.96179,960.11224,203.05048,816.35687,800.79874,704.36974,703.93483,737.9587,590.26,646.60291,196.3738,487.18018
3000300.00,0,PAYG_MB_RATIO,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3000300.00,0,REMAINING_DATA_BAL_MB,3007,2993,2993,2989,2983,2976,2955,2951,2951,2937,2929,2916,2916,2910,2905,2889,2889,,2878,2871,2865,3058,3058,3053,3042,3035,3018,3013,3002,2995
3000300.00,0,TOTAL_REVENUE_WT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,547.0036,0,0,0,0,0,0,0,0,0,0,198
3000300.00,0,TOTAL_VOICE_USAGE,1.35,2.05,5.9,3.53333,1.2,5.78333,2.53333,0.43333,0.36667,5.28333,14.8,2.3,4.31667,18.26667,6.46667,7.73333,0,,25.46667,6.46667,18.76667,5.45,2.91667,13.63333,32.73333,49.26667,25.18333,0,0,9.51667
