MSISDN_ENCR_INT,FEATURE,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14,DAY15,DAY16,DAY17,DAY18,DAY19,DAY20,DAY21,DAY22,DAY23,DAY24,DAY25,DAY26,DAY27,DAY28,DAY29,DAY30
1231003662,PAYG_MB_RATIO,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1.090656294,1.486338431,1.653892282,2.037513585,1.874723171,1.837719642,1.876658664,2.332587326,2.80470404,2.485502506,1.745948869,1.92755718,2.367928328,-1,-1,0,0,0,0,0
1231003662,REMAINING_DATA_BAL_MB,0,0,0,0,0,510,507,507,507,505,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1231003662,TOTAL_REVENUE_WT,0,0,999,0,0,0,0,0,0,0.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1231003662,TOTAL_VOICE_USAGE,37.56667,8.25,8.43333,9.66667,2.73333,0,10.66667,10.76667,16.05,9.75,12.4,27.9,14,3.93333,3.36667,0.85,0,1.61667,11.71667,13.85,11.76667,0,39.3,13.53333,3.05,25.98333,7.08333,18.25,3.45,8.33333
1231003662,WALLET_BALANCE,0.0009,0.0009,0.0009,0.0009,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022
935680919,MBB_TOTAL_USAGE,657.89063,166.37898,274.63407,,,306.35945,50.48415,224.05088,257.40887,120.95756,12.40073,3.78609,312.9373,108.04098,20.45009,490.77811,533.12854,870.4081,235.60849,876.51271,545.85909,766.10917,819.57222,366.42529,180.98322,272.57443,1254.80724,493.14624,470.41569,280.04102
935680919,PAYG_MB_RATIO,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.301453703,690.3790409,926.742462,933.9203029,1267.005801,1511.58757,1487.285707,1543.058814,1606.03214,2262.499562,2352.675455,3476.39972
935680919,REMAINING_DATA_BAL_MB,9961,9893,9893,,,0,1388,1084,1084,1037,561,426,426,416,416,2,2,15360,15354,15014,14627,13851,13851,13409,13077,12630,12499,12496,12491,11596
935680919,TOTAL_REVENUE_WT,0,0,99.5051,,,0,0,0,0,0,0,0,0,0,1599.1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
935680919,TOTAL_VOICE_USAGE,2.98333,6.55,1.28333,,,17.65,2.9,13.43333,0.86667,20.11667,6.78333,12.33333,4,6.88333,4.48333,1.23333,3.26667,8.41667,10.35,3.51667,2.4,8.03333,2.98333,5.75,1.33333,4.81667,0.3,10.16667,0,8.75
935680919,WALLET_BALANCE,104.3305,88.3846,72.4387,,,0.1227,0.1083,0.1083,0.1083,0.1083,0.1083,0.1083,0.1083,0.1083,0.1083,0.1083,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016
1218531843,MBB_TOTAL_USAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.01496
1218531843,PAYG_MB_RATIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
1218531843,REMAINING_DATA_BAL_MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3170
1218531843,TOTAL_REVENUE_WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1218531843,TOTAL_VOICE_USAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1218531843,WALLET_BALANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0023
12721886,MBB_TOTAL_USAGE,,,,,,,,407.9521,255.89096,449.73262,500.70019,139.93793,,,,,,,,,,,,,,,,,,
12721886,PAYG_MB_RATIO,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,
12721886,REMAINING_DATA_BAL_MB,,,,,,,,3,3,508,462,431,,,,,,,,,,,,,,,,,,
12721886,TOTAL_REVENUE_WT,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,
12721886,TOTAL_VOICE_USAGE,,,,,,,,7.45,7.18333,8.75,1.58333,6.06667,,,,,,,,,,,,,,,,,,
12721886,WALLET_BALANCE,,,,,,,,0.0016,0.0065,0.0065,0.0065,0.0065,,,,,,,,,,,,,,,,,,
955643667,MBB_TOTAL_USAGE,,410.38461,898.1148,1011.50602,18.73946,1141.36515,1228.59548,443.18601,679.416,685.43788,580.57758,193.32048,240.42254,396.31667,614.69645,602.01801,316.10554,400.92013,345.38338,311.91375,842.57542,632.23554,392.05687,732.91208,654.92329,611.83487,319.87011,817.9144,619.35332,731.31481
955643667,PAYG_MB_RATIO,,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
955643667,REMAINING_DATA_BAL_MB,,112,112,3186,3196,3121,2850,2007,2007,1415,1787,1495,1495,1430,1400,1327,1327,1587,1714,1483,1342,1291,1291,1531,1561,1316,1286,1240,1193,1122
955643667,TOTAL_REVENUE_WT,,42.7861,33.5161,32.381,0,7.9453,0.0001,32.381,33.8471,79.9102,12.7801,9.7898,0.3311,0,32.381,34.2728,56.7374,14.5773,0,0,36.8266,39.3805,11.5505,10.9356,0,1.3243,0,0,0,0
955643667,TOTAL_VOICE_USAGE,,6.83333,5.2,2.21667,0,8.01667,4.15,9.23333,3.98333,39.28333,10.23333,7.5,4.71667,5.5,0.3,4.56667,20.31667,6.26667,1.78333,5.03333,18.85,6.68333,14.78333,0.2,11.11667,0.91667,0,0,0,0
955643667,WALLET_BALANCE,,-13.8907,64.2872,21.5011,-12.015,-12.015,-12.015,-19.9603,-19.9604,15.2776,-18.5695,-8.0343,-9.8788,-19.6686,-19.9997,-19.9997,-15.7617,18.9655,-16.3265,-19.9682,-19.9682,-19.9682,10.8242,-7.1109,-18.6614,-18.6614,-18.6614,-19.9857,-19.9857,-19.9857
563815346,MBB_TOTAL_USAGE,7.81808,7.44965,2.91296,4.1559,2.26645,209.93159,157.47971,38.09041,62.18406,672.89442,402.74078,5.68343,6.12832,3.99588,6.50962,4.43762,7.74335,4.63589,9.33,7.3334,67.12683,490.51741,477.05599,58.63925,5.34186,4.68904,142.80052,336.65602,721.30227,353.23548
563815346,PAYG_MB_RATIO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-0.998891172,-0.998743246,-0.998243591,-0.999288678,-0.999518477,-0.999705639,-0.999672693,-0.999588388,-0.999406719
563815346,REMAINING_DATA_BAL_MB,2,1,1,1,0,0,0,1328,1328,1171,1072,401,401,2,2,2,2,0,0,0,0,0,0,973,488,16,0,0,0,1400
563815346,TOTAL_REVENUE_WT,0,0.0036,0,0,0,159,0,0,0,0,198,0,0,0,0,0,0,0,0,0,111.5823,10.2155,70.3722,6.3178,198,0,159,0,0,0
563815346,TOTAL_VOICE_USAGE,14.73333,23.5,10.51667,13.08333,5.91667,10.45,3.63333,0,0,0,5.21667,19.23333,19.63333,4.76667,4.66667,34.6,28.48333,2.91667,8.98333,60.53333,10.45,3.63333,24.8,0,30.6,37.65,16.96667,19.86667,9.18333,17.78333
563815346,WALLET_BALANCE,0.0058,0.0058,0.0058,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,26.4204,3.1959,6.3192,0.0014,0.0019,0.0019,0.0019,0.0019
715406512,MBB_TOTAL_USAGE,269.69076,,594.73242,252.58929,169.68889,286.03751,72.69601,221.75306,438.21265,102.89956,202.98868,218.46362,262.69842,164.56961,67.37544,534.87306,544.36607,249.02095,567.1607,474.23701,568.49437,755.47643,378.79758,448.12428,244.16844,435.2166,576.68161,263.53623,96.94567,433.61265
715406512,PAYG_MB_RATIO,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715406512,REMAINING_DATA_BAL_MB,205,,193,0,500,460,454,452,452,451,438,436,436,434,432,429,429,425,400,399,378,336,336,324,308,293,292,291,288,266
715406512,TOTAL_REVENUE_WT,0.0036,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715406512,TOTAL_VOICE_USAGE,0.26667,,21.95,16.45,23.53333,6.2,6.71667,17.5,7.31667,9.6,18.8,11,34.71667,74.88333,5.58333,4.8,16.28333,1.23333,11.58333,13.05,17.28333,3.38333,24.53333,25.66667,9.5,8.88333,6.18333,19.35,7.66667,4.75
715406512,WALLET_BALANCE,0.0049,,0.0013,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062
695967338,MBB_TOTAL_USAGE,1422.81957,1113.98412,1334.54076,1176.59408,1419.60487,807.14211,789.55928,619.59768,1853.35692,828.50278,562.59866,1404.94771,945.99008,345.47449,584.54347,1118.2689,712.97116,1082.47694,1028.13103,1032.60315,1643.84542,582.67484,1242.75452,1021.56468,1573.20161,687.76551,1957.81892,1095.94499,1580.99666,1955.17829
695967338,PAYG_MB_RATIO,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.036011686,6998.280671,6801.583486,0,0,0,0,0,0,0,0,0,0,0,0,0
695967338,REMAINING_DATA_BAL_MB,0,1534,1534,482,1525,993,502,11,11,1114,0,675,675,1712,324,600,600,16,438,4040,3289,2066,2066,1373,1104,280,2,561,23,901
695967338,TOTAL_REVENUE_WT,0,159,0,0,159,0,159,0,159,159,0,159,159,0,0,159,797,0,0,0,0,0,0,0,159,0,159,0,159,159
695967338,TOTAL_VOICE_USAGE,53.41667,17.75,18.25,0.5,19.81667,54.28333,12.83333,38.95,57.25,21.85,25.43333,20.33333,10.35,46.93333,10.93333,7.63333,2.35,9.85,29.03333,30.7,8.31667,8.25,11.31667,23.73333,4.73333,63.3,16.9,14.43333,14.65,17.33333
695967338,WALLET_BALANCE,0.0127,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019
1303329343,MBB_TOTAL_USAGE,1651.99915,1042.20733,592.05405,237.07015,838.81205,1274.83507,1430.59859,2050.40664,1111.84614,888.66678,724.01511,1268.42826,1311.67967,1225.48943,1390.77204,1679.08645,252.93328,880.85266,,,,,,,,,,,,
1303329343,PAYG_MB_RATIO,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,
1303329343,REMAINING_DATA_BAL_MB,16280,15470,15470,14483,14217,13800,13118,12410,12410,11834,10454,10083,10083,9730,9140,7611,7611,6852,,,,,,,,,,,,
1303329343,TOTAL_REVENUE_WT,0,0,0,0,0,0,0,0.0072,0,0,0,0,0,0,0,0,198,0,,,,,,,,,,,,
1303329343,TOTAL_VOICE_USAGE,1.86667,5.53333,6.98333,14.93333,11.36667,5.86667,13.6,5.1,3.95,2.16667,0.21667,0,0,0,0,0,4.23333,17.28333,,,,,,,,,,,,
1303329343,WALLET_BALANCE,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,,,,,,,,,,,,
3365635717,MBB_TOTAL_USAGE,150.78474,652.75233,389.22928,297.70921,192.17537,459.01285,374.46541,120.62302,0.0947,,,,,,,,,,,,,,,,,,,,,
3365635717,PAYG_MB_RATIO,338.1973235,294.9466079,701.9204139,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
3365635717,REMAINING_DATA_BAL_MB,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
3365635717,TOTAL_REVENUE_WT,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
3365635717,TOTAL_VOICE_USAGE,1.38333,7.11667,7.65,7.3,9.15,8.65,5.41667,3.38333,0.98333,,,,,,,,,,,,,,,,,,,,,
3365635717,WALLET_BALANCE,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,,,,,,,,,,,,,,,,,,,,,
1446685933,MBB_TOTAL_USAGE,895.32044,544.4084,209.82434,544.7018,773.40807,586.04208,520.97659,723.49169,24.45266,1436.67407,1390.39875,164.56817,239.10957,428.08749,315.52857,45.12655,79.66895,139.79227,213.99255,180.3566,533.4046,365.90884,884.55742,318.03345,543.23017,702.2558,241.34201,596.96187,310.02452,814.832
1446685933,PAYG_MB_RATIO,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
1446685933,REMAINING_DATA_BAL_MB,2953,2930,2930,2838,2834,2824,2796,2790,2790,2786,2765,2759,2759,2692,2685,2512,2512,2497,2484,2480,2455,2384,2384,2371,2368,2363,2359,5415,3052,2997
1446685933,TOTAL_REVENUE_WT,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,1094.0036,0,0,0,0,0
1446685933,TOTAL_VOICE_USAGE,9.45,0,0,0,0,0,0,0,0,0,0,0,8.43333,2.7,0,0,0,12.56667,31.18333,0.7,12.68333,17.15,23.23333,17.23333,0.18333,8.5,41.58333,0.4,17.08333,26.36667
1446685933,WALLET_BALANCE,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0118,0.0118,0.0118,0.0118
1400171593,MBB_TOTAL_USAGE,3940.1467,3011.11287,7274.31959,1679.58258,771.31775,,,,,,,,,,,,,,,,,,,,,,,,,
1400171593,PAYG_MB_RATIO,1.474797439,-0.527082594,-0.604196214,-0.464395043,-0.569993458,-0.656061723,-0.620240788,-0.625194346,-0.654571519,0.130132735,0.127387922,0.167911095,-0.089834821,-0.181267777,-0.371661557,0.198645458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400171593,REMAINING_DATA_BAL_MB,44,0,0,6472,3328,4291,1737,1737,1737,1737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400171593,TOTAL_REVENUE_WT,536.4544,0,290,3.5943,4.2092,,,,,,,,,,,,,,,,,,,,,,,,,
1400171593,TOTAL_VOICE_USAGE,32.93333,13.2,114.48333,6.15,1.45,,,,,,,,,,,,,,,,,,,,,,,,,
1400171593,WALLET_BALANCE,0.0018,64.3615,7.8724,4.6202,2.8468,4.2525,0.0433,0.0433,0.0433,0.0433,0.0433,0.0433,0.0433,0.0433,0.0433,0.0433,0.0433,0.0433,0.0433,0.0433,0.0433,0.0433,0.0433,0.0433,0.0433,0.0433,0.0433,0.0433,0.0433,0.0433
239985418,MBB_TOTAL_USAGE,846.34656,810.69356,458.69458,1172.08594,671.27785,1795.50244,1227.52472,1723.58966,1018.46274,2533.42443,1544.49267,1797.73746,1320.41051,,1375.32409,3066.59768,1938.23026,3385.85914,1940.21807,1149.54211,1779.70354,1657.3652,2326.11616,3827.14114,1192.64984,1732.93742,2154.06281,1445.67168,1011.89259,1139.90736
239985418,PAYG_MB_RATIO,0,0,0,0,0,4.048492876,4.646289694,4.337251117,4.3860631,3.516022365,3.99674992,4.444825096,5.215048333,,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
239985418,REMAINING_DATA_BAL_MB,3165,1602,1602,966,877,220,30560,29655,29655,28387,26582,25222,25222,,22707,37289,37289,37289,37289,35155,33375,32225,32225,31508,30983,29958,26746,26429,25459,24493
239985418,TOTAL_REVENUE_WT,0,0,0,0,1637.2135,0,0,0,0,0,0,0,2.5067,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239985418,TOTAL_VOICE_USAGE,5.68333,21.88333,40.05,22.06667,33.88333,19.11667,20.7,21,23.35,27.48333,27.15,10.73333,30.18333,,24.7,9.1,29.13333,48.85,56.41667,42.23333,44.28333,56.05,30.58333,41.78333,39.3,26.5,32.78333,24.06667,26.76667,6.68333
239985418,WALLET_BALANCE,52.932,52.932,52.932,52.932,52.932,52.932,50.7214,50.7214,50.7214,50.7214,50.7214,50.7214,50.7214,,47.5998,47.6006,47.6006,47.6006,47.6006,47.6006,47.6006,47.6006,47.6006,47.6006,47.6006,47.6006,47.6006,47.6006,47.6006,47.6006
1609336340,MBB_TOTAL_USAGE,339.23866,439.33763,662.6277,552.4268,256.09412,226.26591,530.1284,1568.67624,523.31278,363.54502,116.46076,628.31412,558.51926,66.81216,193.16036,612.10229,177.10067,1024.30983,100.3346,821.40751,10.24801,11.67465,,,,,,,,
1609336340,PAYG_MB_RATIO,9.519075105,9.004511859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609336340,REMAINING_DATA_BAL_MB,184,175,175,170,240,228,222,219,219,47,214,208,208,206,75,3044,3044,3042,3035,6011,5764,5397,5397,5395,5394,5394,5394,5394,5394,5394
1609336340,TOTAL_REVENUE_WT,0,197,0,0,0,198,0,197,0,0,0,0,547,0,0,198,547,0,0,0,0,0,,,,,,,,
1609336340,TOTAL_VOICE_USAGE,14.73333,21.25,5.91667,0.66667,9.48333,32.13333,24.4,19.43333,19.45,81.26667,34.15,14.68333,4.18333,2.01667,0,0.86667,31.21667,18.93333,10.73333,12.03333,6.2,0,,,,,,,,
1609336340,WALLET_BALANCE,0.0032,0.0032,0.0032,0.0042,0.0042,0.0042,0.0042,0.0047,0.0047,0.0057,0.0057,0.0057,0.0057,0.0057,0.0101,0.0101,0.0101,0.0106,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
14051886,MBB_TOTAL_USAGE,1286.09505,1649.13203,1634.80931,1788.63205,824.49817,487.44115,1042.3124,1262.61469,1178.93613,854.23782,1364.47633,855.75287,1065.72772,1047.85963,1140.38327,1454.51339,1313.28396,2199.8549,1724.90157,429.23173,2292.46827,3710.49111,2728.97496,2289.8749,1059.52233,534.59372,525.99162,1733.94091,1945.59375,1710.61667
14051886,PAYG_MB_RATIO,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.999486466,-0.750471135,-0.702664337,-0.69021413,-0.669477965,-0.67192693,-0.676577537,-0.658438727,-0.658954316,-0.638106476,33.76059492,0,0,0,0,0,0,0,0,0,0
14051886,REMAINING_DATA_BAL_MB,2306,2073,2073,1861,1276,706,404,395,395,262,203,195,195,9010,8823,8498,8498,8455,8400,7615,7497,6492,6492,5852,5596,4742,4162,3960,3526,3387
14051886,TOTAL_REVENUE_WT,0,0,0,219.8497,0.5757,0,0,0,0,0,1062,0,0,0,0,0,0,0,0,0,0,3.1245,220.4747,0,0,0,0,0,0,0
14051886,TOTAL_VOICE_USAGE,15.8,11.6,21.83333,8.8,11.85,5.83333,5.65,25.76667,1.98333,28,7.3,8.91667,1.41667,2.23333,0.31667,1.81667,1.78333,24.4,10.51667,0.28333,9.16667,64.2,9.3,7.98333,12.16667,0,33.33333,99.5,14.61667,6.21667
14051886,WALLET_BALANCE,2.4249,2.4249,2.4249,2.4249,2.4249,0.5757,0,0,0,0,0,0,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,34.1293,4.3553,4.3553,4.3553,4.3553,4.3553,4.3553
1528018978,MBB_TOTAL_USAGE,444.53392,490.33775,690.25204,1156.72107,513.08368,1925.06193,472.12207,1161.86525,1273.28455,707.8161,680.46109,1089.54026,1385.90732,1779.33431,1566.02257,1762.82467,644.19901,937.79945,661.73657,2698.55641,842.50688,1002.97845,515.5277,1124.80532,653.74844,821.05721,1803.10353,732.38851,767.72341,1107.22202
1528018978,PAYG_MB_RATIO,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-0.593696485,-0.640940186,-0.698261869
1528018978,REMAINING_DATA_BAL_MB,20357,19912,19912,19634,19292,18882,13684,12212,12212,27340,13671,13239,13239,12812,12003,9872,9872,9008,7784,7413,7031,4457,4457,3906,3400,3068,2138,1708,1014,15083
1528018978,TOTAL_REVENUE_WT,0,0,0,0,0,0,1327.7843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372.028,238.4156,0,0
1528018978,TOTAL_VOICE_USAGE,66.2,83.61667,14.25,48.48333,36.98333,76.78333,63.63333,135.93333,50.15,78.56667,128.5,90.63333,43.21667,68.05,55.66667,107.78333,19.46667,120.01667,32.85,24.91667,69.18333,35.26667,51.83333,56.13333,23.4,43.73333,58.5,117.46667,80.68333,97
1528018978,WALLET_BALANCE,96.3737,96.3737,96.3737,96.3737,96.3737,96.3737,96.3737,96.3737,67.5941,67.5941,67.5941,67.5941,67.5941,67.5941,67.5941,67.5941,67.5941,67.5941,67.5941,67.5941,67.5941,67.5941,67.5941,67.5941,67.5941,67.5941,67.5941,67.5941,0.5674,0.1558
1573976820,MBB_TOTAL_USAGE,,,,,,,,,715.30866,695.76894,427.79354,17.87742,29.11492,84.82519,0.74443,0.48533,10.99551,368.78483,396.85238,1828.41584,,,,,,,,,,
1573976820,PAYG_MB_RATIO,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1573976820,REMAINING_DATA_BAL_MB,,,,,,,,,2813,2558,2491,2451,2451,2316,2305,2284,2284,2283,2283,2280,,,,,,,,,,
1573976820,TOTAL_REVENUE_WT,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1573976820,TOTAL_VOICE_USAGE,,,,,,,,,0,0.43333,0.78333,0,0,0,0,0,0,1.88333,2.06667,0,,,,,,,,,,
1573976820,WALLET_BALANCE,,,,,,,,,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076,,,,,,,,,,
1131652233,MBB_TOTAL_USAGE,89.05096,142.65493,352.51294,149.15691,78.16394,121.14757,330.17537,891.39761,1261.11346,806.76208,314.45413,623.32651,899.68593,1430.74554,548.60983,931.80103,653.12681,1380.17782,817.66405,696.71276,130.90211,190.27236,190.57563,234.11993,119.99658,160.94405,95.09083,128.47647,29.16107,340.82251
1131652233,PAYG_MB_RATIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1131652233,REMAINING_DATA_BAL_MB,0,0,0,0,0,0,3072,3043,3043,2852,2216,1960,1960,1930,1705,49,49,4,1,0,0,0,0,0,0,0,0,0,0,0
1131652233,TOTAL_REVENUE_WT,0,0,0,0,483,0,0,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1131652233,TOTAL_VOICE_USAGE,6.15,4.16667,2.76667,1.5,0.13333,0.66667,8.06667,4.5,3.81667,7.9,9.65,0,0,0,0,1.71667,2.4,0.1,1.15,0,0.23333,1.2,8.13333,0,5.11667,0.48333,4.98333,3.25,0,1.85
1131652233,WALLET_BALANCE,-39.9881,-39.9881,-39.9881,-39.9881,-39.9881,-39.9881,-39.9839,-39.9839,-39.9839,-39.9839,-39.9839,-39.9839,-39.9839,-39.9839,-39.9839,-39.9839,-39.9806,-39.9806,-39.9806,-39.9806,-39.9806,-39.9806,-39.9806,-39.9806,-39.9806,-39.9806,-39.9806,-39.9806,-39.9806,-39.9806
13153824,MBB_TOTAL_USAGE,14.1889,5.46619,6.94285,1.41783,10.12417,65.40952,12.83945,6.3791,7.11395,18.0051,6.68967,4.96842,0,0.05963,1.26407,8.16359,0.48602,13.16843,46.63725,7.7033,3.45379,6.60947,5.13947,5.86347,2.19315,3.9361,2.51099,6.66929,3.07271,1.51427
